地區,指數名稱,指數值,漲跌,漲跌幅
美洲,S&P 500,"4,982.77",-79.48,1.57%
美洲,道瓊工業平均指數,"37,645.59",-320.01,0.84%
美洲,那斯達克綜合指數,"15,267.91",-335.35,2.15%
美洲,羅素2000指數,"1,760.71",-49.43,2.73%
美洲,標準普爾/多倫多證券交易所綜合指數,"22,506.90",-352.56,1.54%
美洲,巴西股市指數,"123,931.89","-1,656.20",1.32%
歐洲、中東和非洲地區,德國DAX指數,"19,721.54",-558.72,2.75%
歐洲、中東和非洲地區,富時100指數,"7,701.49",-209.04,2.64%
歐洲、中東和非洲地區,CAC 40指數,"6,908.17",-192.25,2.71%
歐洲、中東和非洲地區,IBEX 35,"11,770.90",-294.70,2.44%
歐洲、中東和非洲地區,Euro Stoxx 50指數,"4,643.88",-129.77,2.72%
歐洲、中東和非洲地區,S&P EURO,"2,044.40",-3.29,0.16%
亞太地區,日經平均指數,"31,714.03","-1,298.55",3.93%
亞太地區,上海證券交易所綜合股價指數,"3,186.81",+41.26,1.31%
亞太地區,恒生指數,"20,264.49",+136.81,0.68%
亞太地區,印度SENSEX指數,"73,845.75",-381.33,0.51%
亞太地區,NIFTY 50,"22,402.70",-133.15,0.59%
亞太地區,S&P Asia 50,"4,912.63",-86.66,1.73%
